,Date,Low,High,Close,Open
2788,2016-01-15,505.221,527.8639,513.2404,522.6749
2787,2016-01-14,513.4149,528.8074,525.0336,522.6749
2786,2016-01-13,525.2081,536.7041,528.8074,531.166
2785,2016-01-12,518.4294,532.1095,524.5618,523.1467
2784,2016-01-11,520.788,530.6943,520.788,526.4488
2783,2016-01-08,516.0707,532.1095,527.8639,518.9011
2782,2016-01-07,510.41,517.4859,515.1273,513.2404
2781,2016-01-06,523.4108,535.8833,528.3357,532.1095
2780,2016-01-05,524.5618,537.0343,532.5812,531.6378
2779,2016-01-04,526.4488,536.9966,528.3357,533.5247
2778,2015-12-31,541.0723,550.1861,542.4875,547.6765
2777,2015-12-30,545.7896,553.809,546.7331,553.809
2776,2015-12-29,550.5069,562.3001,553.3373,562.3001
2775,2015-12-24,555.7413,563.2436,561.3566,562.3001
2774,2015-12-23,535.4446,564.6587,557.1111,538.7137
2773,2015-12-22,527.3922,544.3744,533.5247,543.431
2772,2015-12-21,534.0153,545.7896,537.2985,539.1854
2771,2015-12-18,533.5247,543.9074,543.9027,535.4116
2770,2015-12-17,538.4791,547.2048,541.0723,544.3744
2769,2015-12-16,511.3535,535.4116,534.4681,512.7686
2768,2015-12-15,500.0791,511.8252,509.4665,511.8252
2767,2015-12-14,507.1079,534.4681,507.1079,525.977
2766,2015-12-11,516.2912,537.2985,520.788,535.4116
2765,2015-12-10,533.053,553.3373,534.9399,544.8462
2764,2015-12-09,540.6006,564.187,545.7896,560.4132
2763,2015-12-08,544.9311,568.9043,556.6394,565.1305
2762,2015-12-07,563.1964,581.1692,575.9802,565.1305
2761,2015-12-04,554.2807,569.376,560.8849,558.5263
2760,2015-12-03,563.7153,572.2064,564.6587,566.0739
2759,2015-12-02,566.7815,572.2064,567.0174,569.376
2758,2015-12-01,567.0174,580.9334,569.8478,569.376
2757,2015-11-30,566.0739,575.5085,572.2064,572.6781
2756,2015-11-27,564.187,578.3389,572.2064,565.6022
2755,2015-11-26,562.7718,579.2823,567.4891,572.6781
2754,2015-11-25,528.3357,581.641,572.6781,554.7525
2753,2015-11-24,524.5618,557.052,554.7525,534.9399
2752,2015-11-23,520.788,542.3409,536.8268,520.788
2751,2015-11-20,508.5231,522.2032,520.788,511.3535
2750,2015-11-19,505.6927,523.6184,510.41,512.7686
2749,2015-11-18,507.5796,523.1467,512.2969,520.3163
2748,2015-11-17,501.9189,526.292,523.6184,502.3906
2747,2015-11-16,475.9738,506.0229,498.1451,476.4456
2746,2015-11-13,481.6346,506.5041,484.4649,504.2775
2745,2015-11-12,482.5544,534.9399,506.1644,516.0707
2744,2015-11-11,626.4552,650.985,629.2855,636.8332
2743,2015-11-10,629.2323,661.363,634.0028,659.9479
2742,2015-11-09,656.6458,667.9672,659.0044,664.1934
2741,2015-11-06,654.2871,663.25,659.4761,660.4196
2740,2015-11-05,654.2871,669.3824,660.4196,666.5521
2739,2015-11-04,657.5892,675.9866,669.3824,657.5892
2738,2015-11-03,650.5133,658.5327,655.7023,652.8719
2737,2015-11-02,641.0787,653.3437,652.4002,641.0787
2736,2015-10-30,638.0125,658.0609,648.6264,644.3808
2735,2015-10-29,633.399,641.5505,640.607,636.8332
2734,2015-10-28,617.964,638.7201,635.418,630.229
2733,2015-10-27,630.7007,647.6829,636.3614,642.4939
2732,2015-10-26,643.4374,659.9479,644.3808,646.2677
2731,2015-10-23,636.3614,661.8348,649.0981,637.7766
2730,2015-10-22,626.9269,637.7813,632.1159,636.3614
2729,2015-10-21,623.9829,640.2688,634.2198,628.1707
2728,2015-10-20,617.0033,628.7105,627.2401,625.3789
2727,2015-10-19,618.1665,641.3391,623.0523,634.6851
2726,2015-10-16,633.6009,657.0201,637.9423,651.4363
2725,2015-10-15,644.2705,654.2282,648.6445,652.8323
2724,2015-10-14,647.2485,657.9507,650.0404,656.5548
2723,2015-10-13,655.6241,677.4938,661.6732,675.1672
2722,2015-10-12,669.5835,695.1756,675.6325,694.7103
2721,2015-10-09,695.1756,710.8177,703.0859,701.2247
2720,2015-10-08,682.6122,698.4328,693.7797,682.6122
2719,2015-10-07,679.355,692.0789,683.0775,687.2653
2718,2015-10-06,674.7019,689.5919,686.8,679.8203
2717,2015-10-05,664.4651,681.2163,677.9591,667.7222
2716,2015-10-02,640.7342,655.6241,655.6241,643.526
2715,2015-10-01,635.6157,645.8526,638.8729,638.8729
2714,2015-09-30,615.142,631.4279,630.032,619.3298
2713,2015-09-29,601.1827,610.9542,605.8358,607.697
2712,2015-09-28,603.0439,617.0033,614.2114,613.7461
2711,2015-09-25,609.5583,629.1014,617.4686,615.142
2710,2015-09-24,591.8764,632.8239,605.3705,632.8239
2709,2015-09-23,632.3586,646.9188,632.3586,637.0117
2708,2015-09-22,635.1504,648.1791,637.9423,647.7138
2707,2015-09-21,638.8729,651.4363,648.1791,639.8035
2706,2015-09-18,637.0117,660.2773,643.9913,660.2773
2705,2015-09-17,660.2773,669.5835,661.2079,669.5835
2704,2015-09-16,661.2079,677.0285,670.0488,674.2366
2703,2015-09-15,656.5548,676.4096,672.8407,668.6529
2702,2015-09-14,664.4464,677.0285,667.2569,670.9794
2701,2015-09-11,667.7222,677.9591,670.9794,677.4938
2700,2015-09-10,670.5141,681.6816,674.7019,675.1672
2699,2015-09-09,677.9591,687.2653,680.2857,685.4041
2698,2015-09-08,665.3957,684.6317,675.1672,672.3754
2697,2015-09-07,667.592,678.4244,669.1182,677.9591
2696,2015-09-04,669.5835,680.2857,670.9794,679.355
2695,2015-09-03,682.1469,693.9379,685.8694,689.5919
2694,2015-09-02,674.7019,690.9878,681.2163,680.751
2693,2015-09-01,668.6622,688.196,676.5632,683.0775
2692,2015-08-28,671.4447,691.9184,691.9184,678.8897
2691,2015-08-27,675.1672,683.6026,679.8203,679.355
2690,2015-08-26,658.7231,673.7713,664.9304,667.2569
2689,2015-08-25,665.984,681.2163,673.7713,679.8203
2688,2015-08-24,637.9423,690.0572,669.5835,689.5919
2687,2015-08-21,684.0081,711.7733,684.0081,698.4328
2686,2015-08-20,702.6206,718.4412,708.2044,703.5512
2685,2015-08-19,708.2044,735.6577,709.135,735.1924
2684,2015-08-18,726.3515,744.964,735.1924,740.7762
2683,2015-08-17,738.4496,753.3396,741.2415,747.7558
2682,2015-08-14,740.7762,748.2212,742.1721,744.0334
2681,2015-08-13,738.9149,757.9927,742.6374,753.8049
